dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
2,4.523,4.571,0,0,0,0,0,0,78,41,1.43933
0,4.571,4.577,0,0,0,0,0,0,130,88,0.489078
1,4.571,4.577,0,0,0,0,0,0,136,51,0.441092
2,4.571,4.577,0,0,0,0,0,0,84,44,1.42835
0,4.577,4.582,0,0,0,0,0,0,130,88,0.495247
1,4.577,4.582,0,0,0,0,0,0,139,52,0.489079
2,4.577,4.582,0,0,0,0,0,0,96,51,1.45193
0,4.582,4.588,0,0,0,0,0,0,130,88,0.500138
1,4.582,4.588,0,0,0,0,0,0,141,54,0.495249
2,4.582,4.588,0,0,0,0,0,0,96,51,1.45193
0,4.588,4.6,0,0,0,0,0,0,130,88,0.536061
1,4.588,4.6,0,0,0,0,0,0,143,56,0.500137
2,4.588,4.6,0,0,0,0,0,0,96,51,1.45193
0,4.6,4.622,0,0,0,0,0,0,130,88,0.543007
1,4.6,4.622,0,0,0,0,0,0,144,57,0.536061
2,4.6,4.622,0,0,0,0,0,0,96,51,1.45193
0,4.622,4.635,0,0,0,0,0,0,130,88,0.545194
1,4.622,4.635,0,0,0,0,0,0,146,58,0.543012
2,4.622,4.635,0,0,0,0,0,0,96,51,1.45193
0,4.635,4.636,0,0,0,0,0,0,130,88,0.550764
1,4.635,4.636,0,0,0,0,0,0,148,58,0.545195
2,4.635,4.636,0,0,0,0,0,0,102,54,1.44142
0,4.636,4.637,0,0,0,0,0,0,130,87,0.55076
1,4.636,4.637,0,0,0,0,0,0,150,60,0.550765
2,4.636,4.637,0,0,0,0,0,0,102,54,1.44142
0,4.637,4.638,0,0,0,0,0,0,130,86,0.536722
1,4.637,4.638,0,0,0,0,0,0,152,61,0.550766
2,4.637,4.638,0,0,0,0,0,0,102,54,1.44142
0,4.638,4.643,0,0,0,0,0,0,130,86,0.552723
1,4.638,4.643,0,0,0,0,0,0,153,61,0.536722
2,4.638,4.643,0,0,0,0,0,0,102,54,1.44142
0,4.643,4.644,0,0,0,0,0,0,130,86,0.564454
1,4.643,4.644,0,0,0,0,0,0,155,63,0.552726
2,4.643,4.644,0,0,0,0,0,0,102,54,1.44142
0,4.644,4.655,0,0,0,0,0,0,130,86,0.623859
1,4.644,4.655,0,0,0,0,0,0,156,64,0.564456
2,4.644,4.655,0,0,0,0,0,0,102,54,1.44142
0,4.655,4.666,0,0,0,0,0,0,130,86,0.624875
1,4.655,4.666,0,0,0,0,0,0,159,64,0.623861
2,4.655,4.666,0,0,0,0,0,0,102,54,1.44142
0,4.666,4.677,0,0,0,0,0,0,130,85,0.615488
1,4.666,4.677,0,0,0,0,0,0,161,64,0.624877
2,4.666,4.677,0,0,0,0,0,0,114,61,1.46
0,4.677,4.687,0,0,0,0,0,0,130,85,0.615838
1,4.677,4.687,0,0,0,0,0,0,163,65,0.615489
2,4.677,4.687,0,0,0,0,0,0,114,61,1.46
0,4.687,4.715,0,0,0,0,0,0,130,85,0.635094
1,4.687,4.715,0,0,0,0,0,0,164,66,0.61584
2,4.687,4.715,0,0,0,0,0,0,114,61,1.46
0,4.715,4.724,0,0,0,0,0,0,130,85,0.639525
1,4.715,4.724,0,0,0,0,0,0,165,67,0.635096
2,4.715,4.724,0,0,0,0,0,0,114,61,1.46
0,4.724,4.728,0,0,0,0,0,0,130,85,0.653511
1,4.724,4.728,0,0,0,0,0,0,166,68,0.639526
2,4.724,4.728,0,0,0,0,0,0,114,61,1.46
0,4.728,4.732,0,0,0,0,0,0,130,85,0.664679
1,4.728,4.732,0,0,0,0,0,0,168,70,0.653513
2,4.728,4.732,0,0,0,0,0,0,114,61,1.46
0,4.732,4.739,0,0,0,0,0,0,130,85,0.673734
1,4.732,4.739,0,0,0,0,0,0,170,72,0.664683
2,4.732,4.739,0,0,0,0,0,0,114,61,1.46
0,4.739,4.746,0,0,0,0,0,0,130,85,0.689242
1,4.739,4.746,0,0,0,0,0,0,172,74,0.673738
2,4.739,4.746,0,0,0,0,0,0,114,61,1.46
0,4.746,4.747,0,0,0,0,0,0,130,84,0.687011
1,4.746,4.747,0,0,0,0,0,0,174,74,0.689244
2,4.746,4.747,0,0,0,0,0,0,120,65,1.48751
0,4.747,4.749,0,0,0,0,0,0,130,84,0.698287
1,4.747,4.749,0,0,0,0,0,0,176,75,0.687013
2,4.747,4.749,0,0,0,0,0,0,120,65,1.48751
0,4.749,4.752,0,0,0,0,0,0,130,84,0.699241
1,4.749,4.752,0,0,0,0,0,0,178,77,0.698287
2,4.749,4.752,0,0,0,0,0,0,120,65,1.48751
0,4.752,4.763,0,0,0,0,0,0,130,84,0.710658
1,4.752,4.763,0,0,0,0,0,0,179,78,0.699242
2,4.752,4.763,0,0,0,0,0,0,120,65,1.48751
0,4.763,4.78,0,0,0,0,0,0,130,84,0.727419
1,4.763,4.78,0,0,0,0,0,0,181,78,0.71066
2,4.763,4.78,0,0,0,0,0,0,126,69,1.51475
0,4.78,4.782,0,0,0,0,0,0,130,84,0.727911
1,4.78,4.782,0,0,0,0,0,0,183,80,0.727416
2,4.78,4.782,0,0,0,0,0,0,126,69,1.51475
0,4.782,4.802,0,0,0,0,0,0,130,84,0.73301
1,4.782,4.802,0,0,0,0,0,0,184,81,0.727913
2,4.782,4.802,0,0,0,0,0,0,126,69,1.51475
0,4.802,4.817,0,0,0,0,0,0,130,84,0.735821
1,4.802,4.817,0,0,0,0,0,0,186,80,0.733007
2,4.802,4.817,0,0,0,0,0,0,126,69,1.51475
0,4.817,4.83,0,0,0,0,0,0,130,84,0.736208
1,4.817,4.83,0,0,0,0,0,0,188,80,0.735823
2,4.817,4.83,0,0,0,0,0,0,138,76,1.52663
0,4.83,4.865,0,0,0,0,0,0,130,84,0.736784
1,4.83,4.865,0,0,0,0,0,0,189,81,0.736206
2,4.83,4.865,0,0,0,0,0,0,138,76,1.52663
0,4.865,4.867,0,0,0,0,0,0,130,84,0.737901
1,4.865,4.867,0,0,0,0,0,0,190,82,0.736786
2,4.865,4.867,0,0,0,0,0,0,138,76,1.52663
0,4.867,4.887,0,0,0,0,0,0,130,84,0.742136
1,4.867,4.887,0,0,0,0,0,0,191,83,0.737903
2,4.867,4.887,0,0,0,0,0,0,138,76,1.52663
0,4.887,4.889,0,0,0,0,0,0,130,84,0.742211
1,4.887,4.889,1,0,0,0,0,0,193,84,0.74214
2,4.887,4.889,0,0,0,0,0,0,138,76,1.52663
0,4.889,4.9,0,0,0,0,0,0,130,84,0.751079
1,4.889,4.9,0,0,0,0,0,0,195,84,0.742214
2,4.889,4.9,0,0,0,0,0,0,144,79,1.51327
0,4.9,4.901,0,0,0,0,0,0,130,84,0.770781
1,4.9,4.901,0,0,0,0,0,0,196,85,0.75108
2,4.9,4.901,0,0,0,0,0,0,144,79,1.51327
0,4.901,4.91,0,0,0,0,0,0,130,84,0.771501
1,4.901,4.91,0,0,0,0,0,0,197,85,0.770782
2,4.901,4.91,0,0,0,0,0,0,144,79,1.51327
0,4.91,4.931,0,0,0,0,0,0,130,84,0.779649
1,4.91,4.931,1,0,0,0,0,0,199,85,0.771501
2,4.91,4.931,0,0,0,0,0,0,150,82,1.50131
0,4.931,4.933,0,0,0,0,0,0,130,84,0.78144
1,4.931,4.933,0,0,0,0,0,0,201,87,0.77965
2,4.931,4.933,0,0,0,0,0,0,150,82,1.50131
0,4.933,4.994,0,0,0,0,0,0,130,84,0.78146
1,4.933,4.994,0,0,0,0,0,0,203,86,0.781437
2,4.933,4.994,0,0,0,0,0,0,150,82,1.50131
